mukim,parlimen,weight_by_landmass
Mukim Batu,P.115 Batu,0.4
Mukim Batu,P.114 Kepong,0.4
Mukim Batu,P.117 Segambut,0.2
Mukim Petaling,P.122 Seputeh,0.5
Mukim Petaling,P.124 Bandar Tun Razak,0.5
Mukim Kuala Lumpur,P.123 Cheras,0.5
Mukim Kuala Lumpur,P.117 Segambut,0.2
Mukim Kuala Lumpur,P.121 Lembah Pantai,0.1
Mukim Kuala Lumpur,P.124 Bandar Tun Razak,0.1
Mukim Kuala Lumpur,P.122 Seputeh,0.1
Mukim Setapak,P.116 Wangsa Maju,0.5
Mukim Setapak,P.118 Setiawangsa,0.5
Kuala Lumpur Town Centre,P.120 Bukit Bintang,0.5
Kuala Lumpur Town Centre,P.119 Titiwangsa,0.1
Kuala Lumpur Town Centre,P.121 Lembah Pantai,0.1
Kuala Lumpur Town Centre,P.123 Cheras,0.1
Kuala Lumpur Town Centre,P.115 Batu,0.1
Kuala Lumpur Town Centre,P.118 Setiawangsa,0.1
Mukim Ampang,P.119 Titiwangsa,0.8
Mukim Ampang,P.123 Cheras,0.2
Mukim Ulu Kelang,P.118 Setiawangsa,1
Mukim Cheras,P.123 Cheras,0.5
Mukim Cheras,P.124 Bandar Tun Razak,0.5